image,bbox_id,house,week,estimated_weight_g,ensemble_score,vote_count,ensemble_level,percentile_level
P-W6-0004.jpg,27,Prototype,6,37.59,4.466717,3,critical,critical
P-W6-V0012.jpg,27,Prototype,6,37.59,4.466717,3,critical,critical
C-W1-0057.jpg,222,Commercial,1,5.09,3.609962,3,critical,critical
C-W1-0067.jpg,828,Commercial,1,15.58,2.518617,4,critical,critical
C-W6-V0046.jpg,64,Commercial,6,361.52,2.24344,3,critical,critical
C-W4-V0011.jpg,258,Commercial,4,248.42,2.049263,3,critical,critical
C-W3-0113.jpg,309,Commercial,3,169.04,1.913854,3,critical,critical
C-W4-V0011.jpg,262,Commercial,4,285.07,1.911649,3,critical,critical
C-W1-0081.jpg,91,Commercial,1,33.25,1.910311,3,critical,critical
C-W4-V0011.jpg,259,Commercial,4,286.49,1.90668,3,critical,critical
C-W4-V0015.jpg,276,Commercial,4,288.14,1.902129,3,critical,critical
C-W4-0067.jpg,259,Commercial,4,280.42,1.877813,3,critical,critical
C-W4-V0015.jpg,259,Commercial,4,297.14,1.871372,4,critical,critical
C-W4-0101.jpg,272,Commercial,4,280.42,1.870435,3,critical,critical
C-W3-0107.jpg,359,Commercial,3,171.68,1.845545,4,critical,critical
C-W4-V0052.jpg,264,Commercial,4,263.33,1.833345,3,critical,critical
C-W1-0067.jpg,822,Commercial,1,31.17,1.825149,3,critical,critical
C-W4-0066.jpg,272,Commercial,4,318.48,1.799111,3,critical,critical
C-W4-0100.jpg,277,Commercial,4,318.48,1.798872,3,critical,critical
C-W3-0068.jpg,193,Commercial,3,171.1,1.791721,3,critical,critical
C-W4-0053.jpg,267,Commercial,4,329.95,1.789767,3,critical,critical
C-W4-0106.jpg,265,Commercial,4,283.84,1.780122,3,critical,critical
C-W4-0015.jpg,265,Commercial,4,338.31,1.76768,3,critical,critical
C-W3-0020.jpg,181,Commercial,3,188.27,1.725256,3,critical,critical
C-W3-V0016.jpg,377,Commercial,3,201.68,1.721772,3,critical,critical
C-W3-V0023.jpg,375,Commercial,3,201.68,1.718638,3,critical,critical
C-W4-V0009.jpg,275,Commercial,4,326.53,1.694489,4,critical,critical
C-W4-0106.jpg,266,Commercial,4,309.34,1.694091,3,critical,critical
C-W3-0109.jpg,359,Commercial,3,203.52,1.685481,3,critical,critical
C-W4-0101.jpg,266,Commercial,4,337.45,1.685306,3,critical,critical
C-W3-V0060.jpg,302,Commercial,3,198.99,1.679544,4,critical,critical
C-W6-0083.jpg,166,Commercial,6,629.71,1.677682,3,critical,critical
C-W4-0049.jpg,238,Commercial,4,365.93,1.675964,3,critical,critical
C-W4-0014.jpg,266,Commercial,4,372.81,1.673383,3,critical,critical
C-W3-V0021.jpg,250,Commercial,3,213.9,1.669619,3,critical,critical
C-W2-0087.jpg,457,Commercial,2,113.45,1.667765,3,critical,critical
C-W2-0018.jpg,535,Commercial,2,107.88,1.644539,4,critical,critical
C-W4-V0015.jpg,261,Commercial,4,376.24,1.635349,3,critical,critical
C-W1-0067.jpg,820,Commercial,1,37.88,1.630182,2,warning,critical
C-W3-0065.jpg,185,Commercial,3,219.78,1.629546,3,critical,critical
